build_utc,river,place,lat,lon,q_now_m3s,pct_of_median,date,q_forecast_from_date
2026-09-26T13:08Z,Siang / Brahmaputra,Pasighat,28.06,95.33,5022.43,90,2026-09-26,"[5022.43, 4796.33, 4633.47, 4476.13, 4324.14, 4186.94, 4091.61]"
2026-09-26T16:28Z,Indus,Leh,34.13,77.45,268.77,154,2026-09-26,"[268.77, 257.82, 248.46, 240.55, 232.35, 224.94, 217.78]"
2026-09-26T16:28Z,Indus,Skardu,35.48,75.4,1217.99,132,2026-09-26,"[1217.99, 1187.5, 1149.8, 1113.29, 1077.95, 1048.54, 1019.94]"
2026-09-26T16:28Z,Jhelum,Srinagar,34.23,74.65,224.94,89,2026-09-26,"[224.94, 221.84, 217.27, 212.8, 208.41, 204.12, 199.91]"
2026-09-26T16:28Z,Chenab,Akhnoor,32.815,74.59,471.06,84,2026-09-26,"[471.06, 459.26, 449.82, 440.57, 430.52, 419.73, 411.1]"
2026-09-26T16:28Z,Sutlej,Rampur,31.375,77.48,240.55,111,2026-09-26,"[240.55, 237.78, 238.88, 239.44, 237.23, 231.81, 227.03]"
2026-09-26T16:28Z,Beas,Mandi,31.785,76.855,316.69,90,2026-09-26,"[316.69, 310.89, 305.2, 302.39, 297.54, 292.76, 287.4]"
2026-09-26T16:28Z,Yamuna,Dakpathar,30.425,77.65,424.6,108,2026-09-26,"[424.6, 419.73, 447.75, 464.59, 458.2, 439.55, 419.73]"
2026-09-26T16:28Z,Ganga,Rishikesh,29.95,78.15,925.83,105,2026-09-26,"[925.83, 951.8, 1041.32, 1134.01, 1128.8, 1082.93, 1038.92]"
2026-09-26T16:28Z,Alaknanda,Srinagar (Garhwal),30.22,78.63,478.73,110,2026-09-26,"[478.73, 469.98, 513.04, 557.47, 553.63, 533.56, 514.23]"
2026-09-26T16:28Z,Kali / Sharda,Tanakpur,28.92,79.96,919.45,89,2026-09-26,"[919.45, 1168.5, 1299.17, 1360.44, 1314.22, 1243.51, 1182.04]"
2026-09-26T16:28Z,Karnali,Chisapani,28.565,81.215,3302.7,132,2026-09-26,"[3302.7, 5235.01, 5045.61, 4225.69, 3722.92, 3426.68, 3212.66]"
2026-09-26T16:28Z,Narayani / Gandaki,Narayanghat,27.7,84.355,4741.42,159,2026-09-26,"[4741.42, 6806.69, 6323.12, 5198.96, 4559.37, 4167.69, 3889.45]"
